               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.049097,            0.028486,            0.025794,            0.048128,                 0.9,            0.080126,            0.032927,            0.032749,            0.014331,            0.063176,            0.029753,           0.0047528,           0.0047528
                  38,             0.03754,            0.022972,            0.020556,             0.04712,                 0.9,             0.11296,            0.037257,            0.041208,            0.012992,            0.063794,            0.027803,           0.0048033,           0.0048033
                  39,            0.059412,            0.025419,            0.029119,             0.04712,                 0.9,             0.11296,            0.037257,            0.041208,            0.012992,            0.063794,             0.02585,           0.0048498,           0.0048498
                  40,            0.051859,            0.027011,            0.027684,             0.05102,                   1,             0.23161,            0.071541,            0.040968,            0.012758,            0.062617,            0.023892,           0.0048924,           0.0048924
                  41,            0.048902,            0.025633,            0.023162,            0.053191,                   1,             0.18726,            0.063856,            0.039566,            0.012099,            0.062266,            0.021931,            0.004931,            0.004931
                  42,            0.035727,            0.022156,            0.017536,            0.053191,                   1,             0.18726,            0.063856,            0.039566,            0.012099,            0.062266,            0.019966,           0.0049657,           0.0049657
                  43,            0.045328,            0.023006,            0.020049,            0.037975,                 0.9,             0.30945,            0.064273,            0.039617,            0.012063,            0.061104,            0.017996,           0.0049964,           0.0049964
                  44,            0.050969,            0.023147,            0.019369,            0.037975,                 0.9,             0.30945,            0.064273,            0.039617,            0.012063,            0.061104,            0.016023,           0.0050232,           0.0050232
                  45,            0.050817,            0.026234,            0.027997,            0.036364,                   1,             0.24924,            0.041132,            0.037825,            0.011562,            0.062144,            0.014046,            0.005046,            0.005046
                  46,            0.040104,            0.021535,            0.043648,            0.036364,                   1,             0.24924,            0.041132,            0.037825,            0.011562,            0.062144,            0.012065,           0.0050648,           0.0050648
                  47,            0.048901,            0.020771,            0.021462,            0.030928,                 0.9,              0.1772,            0.047996,            0.043902,            0.010714,            0.061948,             0.01008,           0.0050797,           0.0050797
                  48,            0.042386,            0.021953,             0.01692,            0.030928,                 0.9,              0.1772,            0.047996,            0.043902,            0.010714,            0.061948,           0.0080906,           0.0050906,           0.0050906
                  49,            0.056988,             0.01882,            0.038059,            0.037175,                   1,             0.55698,             0.13458,            0.034541,            0.011332,            0.064988,           0.0060975,           0.0050975,           0.0050975
                  50,            0.030153,            0.018174,            0.017366,            0.037175,                   1,             0.55698,             0.13458,            0.034541,            0.011332,            0.064988,             0.00505,             0.00505,             0.00505
                  51,            0.035573,            0.021858,            0.018602,                0.04,                   1,              0.4343,             0.15494,            0.034696,            0.010966,            0.066295,             0.00505,             0.00505,             0.00505
